GAP version: 4.12.1
CTblLib version: 1.3.7
table: S8(2); classes: 81; ordered nonidentity pairs: 6400
completed row 2/81; pairs=80; coefficient calls=806; hits=0
completed row 3/81; pairs=160; coefficient calls=1116; hits=0
completed row 4/81; pairs=240; coefficient calls=1428; hits=0
completed row 5/81; pairs=320; coefficient calls=1691; hits=0
completed row 6/81; pairs=400; coefficient calls=1873; hits=0
completed row 7/81; pairs=480; coefficient calls=2061; hits=0
completed row 8/81; pairs=560; coefficient calls=2430; hits=0
completed row 9/81; pairs=640; coefficient calls=2786; hits=0
completed row 10/81; pairs=720; coefficient calls=2970; hits=0
completed row 11/81; pairs=800; coefficient calls=3208; hits=0
completed row 12/81; pairs=880; coefficient calls=3408; hits=0
completed row 13/81; pairs=960; coefficient calls=3628; hits=0
completed row 14/81; pairs=1040; coefficient calls=3823; hits=0
completed row 15/81; pairs=1120; coefficient calls=4013; hits=0
completed row 16/81; pairs=1200; coefficient calls=4200; hits=0
completed row 17/81; pairs=1280; coefficient calls=4383; hits=0
completed row 18/81; pairs=1360; coefficient calls=4550; hits=0
completed row 19/81; pairs=1440; coefficient calls=4720; hits=0
completed row 20/81; pairs=1520; coefficient calls=4898; hits=0
completed row 21/81; pairs=1600; coefficient calls=5064; hits=0
completed row 22/81; pairs=1680; coefficient calls=5226; hits=0
completed row 23/81; pairs=1760; coefficient calls=5388; hits=0
completed row 24/81; pairs=1840; coefficient calls=5583; hits=0
completed row 25/81; pairs=1920; coefficient calls=5765; hits=0
completed row 26/81; pairs=2000; coefficient calls=5986; hits=0
completed row 27/81; pairs=2080; coefficient calls=6187; hits=0
completed row 28/81; pairs=2160; coefficient calls=6372; hits=0
completed row 29/81; pairs=2240; coefficient calls=6559; hits=0
completed row 30/81; pairs=2320; coefficient calls=6823; hits=0
completed row 31/81; pairs=2400; coefficient calls=7036; hits=0
completed row 32/81; pairs=2480; coefficient calls=7215; hits=0
completed row 33/81; pairs=2560; coefficient calls=7384; hits=0
completed row 34/81; pairs=2640; coefficient calls=7555; hits=0
completed row 35/81; pairs=2720; coefficient calls=7724; hits=0
completed row 36/81; pairs=2800; coefficient calls=7921; hits=0
completed row 37/81; pairs=2880; coefficient calls=8088; hits=0
completed row 38/81; pairs=2960; coefficient calls=8254; hits=0
completed row 39/81; pairs=3040; coefficient calls=8423; hits=0
completed row 40/81; pairs=3120; coefficient calls=8588; hits=0
completed row 41/81; pairs=3200; coefficient calls=8771; hits=0
completed row 42/81; pairs=3280; coefficient calls=8932; hits=0
completed row 43/81; pairs=3360; coefficient calls=9097; hits=0
completed row 44/81; pairs=3440; coefficient calls=9264; hits=0
completed row 45/81; pairs=3520; coefficient calls=9426; hits=0
completed row 46/81; pairs=3600; coefficient calls=9587; hits=0
completed row 47/81; pairs=3680; coefficient calls=9750; hits=0
completed row 48/81; pairs=3760; coefficient calls=9912; hits=0
completed row 49/81; pairs=3840; coefficient calls=10112; hits=0
completed row 50/81; pairs=3920; coefficient calls=10331; hits=0
completed row 51/81; pairs=4000; coefficient calls=10495; hits=0
completed row 52/81; pairs=4080; coefficient calls=10663; hits=0
completed row 53/81; pairs=4160; coefficient calls=10827; hits=0
completed row 54/81; pairs=4240; coefficient calls=11052; hits=0
completed row 55/81; pairs=4320; coefficient calls=11247; hits=0
completed row 56/81; pairs=4400; coefficient calls=11416; hits=0
completed row 57/81; pairs=4480; coefficient calls=11594; hits=0
completed row 58/81; pairs=4560; coefficient calls=11765; hits=0
completed row 59/81; pairs=4640; coefficient calls=11929; hits=0
completed row 60/81; pairs=4720; coefficient calls=12096; hits=0
completed row 61/81; pairs=4800; coefficient calls=12260; hits=0
completed row 62/81; pairs=4880; coefficient calls=12423; hits=0
completed row 63/81; pairs=4960; coefficient calls=12584; hits=0
completed row 64/81; pairs=5040; coefficient calls=12747; hits=0
completed row 65/81; pairs=5120; coefficient calls=12910; hits=0
completed row 66/81; pairs=5200; coefficient calls=13107; hits=0
completed row 67/81; pairs=5280; coefficient calls=13304; hits=0
completed row 68/81; pairs=5360; coefficient calls=13745; hits=0
completed row 69/81; pairs=5440; coefficient calls=13906; hits=0
completed row 70/81; pairs=5520; coefficient calls=14072; hits=0
completed row 71/81; pairs=5600; coefficient calls=14269; hits=0
completed row 72/81; pairs=5680; coefficient calls=14430; hits=0
completed row 73/81; pairs=5760; coefficient calls=14591; hits=0
completed row 74/81; pairs=5840; coefficient calls=14821; hits=0
completed row 75/81; pairs=5920; coefficient calls=14986; hits=0
completed row 76/81; pairs=6000; coefficient calls=15149; hits=0
completed row 77/81; pairs=6080; coefficient calls=15320; hits=0
completed row 78/81; pairs=6160; coefficient calls=15485; hits=0
completed row 79/81; pairs=6240; coefficient calls=15650; hits=0
completed row 80/81; pairs=6320; coefficient calls=15814; hits=0
completed row 81/81; pairs=6400; coefficient calls=15976; hits=0
FINAL table=S8(2) tested=6400 coeffCalls=15976 singleClassProducts=[  ]
