vertex,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,1,5,5,5,5,5,5,2,3,3,3,3,2,5,5,6,3,3,5,6,6,5,3,3,6,2,5,3,3,5,5,3,3,5,2,5,6,6,2,5,5,2,6,6,5,6,5,5,6,5,5,6,5,5,6
2,5,1,5,5,5,3,5,3,5,2,2,5,3,5,3,6,6,5,3,3,3,3,5,6,6,5,2,3,5,3,3,5,3,2,5,5,5,2,6,6,6,6,2,5,5,5,6,6,5,5,5,5,6,6,5
3,5,5,1,5,5,3,2,5,3,5,5,3,5,2,3,5,3,6,6,3,3,6,6,3,5,3,3,2,5,5,5,5,2,3,3,2,6,5,5,6,6,5,5,6,2,6,5,6,5,5,5,5,6,5,6
4,5,5,5,1,5,2,3,5,5,3,3,5,5,3,2,3,6,3,6,5,5,6,3,6,3,3,5,5,2,3,3,2,5,5,3,6,5,6,5,2,2,5,6,5,6,5,5,5,6,6,6,6,5,5,5
5,5,5,5,5,1,5,3,3,2,5,5,2,3,3,5,3,5,6,3,6,6,3,6,5,3,5,3,5,3,2,2,3,5,3,5,6,2,5,6,5,5,6,5,2,6,5,6,5,5,6,6,5,5,6,5
6,5,3,3,2,5,1,5,3,3,5,5,6,6,5,6,5,5,2,5,5,5,6,5,6,2,6,5,5,3,6,5,2,5,5,5,2,3,2,5,3,6,3,6,5,6,5,5,3,3,5,3,5,3,6,6
7,5,5,2,3,3,5,1,6,5,6,3,5,3,6,5,5,5,6,5,5,2,6,5,2,5,5,6,2,5,5,5,5,3,5,6,6,2,3,3,6,2,5,5,6,3,3,5,5,5,3,3,6,3,6,5
8,2,3,5,5,3,3,6,1,5,5,5,5,6,3,6,5,5,5,5,6,5,5,2,2,6,3,5,6,6,5,5,5,5,5,2,5,6,2,3,5,3,6,6,2,3,3,3,5,5,6,5,3,6,3,5
9,3,5,3,5,2,3,5,5,1,3,6,6,5,5,6,2,5,6,5,5,6,2,5,5,5,5,5,5,6,3,2,5,5,6,5,2,6,5,2,5,3,6,3,3,6,3,3,6,5,3,5,6,5,5,3
10,3,2,5,3,5,5,6,5,3,1,6,6,5,3,5,6,6,5,2,5,2,5,5,5,5,5,2,6,5,6,5,5,5,3,5,5,3,3,2,2,6,6,6,5,3,6,5,5,3,5,6,3,3,3,5
11,3,2,5,3,5,5,3,5,6,6,1,3,5,6,5,5,5,5,5,2,5,2,5,6,6,5,3,5,5,5,6,5,6,2,5,3,5,6,6,6,2,2,3,3,5,5,3,3,3,6,5,3,5,5,6
12,3,5,3,5,2,6,5,5,6,6,3,1,5,5,3,5,5,5,2,6,5,5,6,5,2,5,6,5,5,2,3,6,5,5,5,6,3,3,6,3,5,2,5,6,2,3,5,5,6,5,3,5,6,3,3
13,2,3,5,5,3,6,3,6,5,5,5,5,1,6,3,6,2,2,5,5,6,5,5,5,5,2,5,5,5,5,5,6,6,5,3,3,2,6,6,3,5,3,2,6,5,5,3,6,3,5,6,5,5,3,3
14,5,5,2,3,3,5,6,3,5,3,6,5,6,1,5,5,2,5,6,2,5,5,6,5,5,6,5,3,5,5,5,5,2,6,5,3,6,5,5,2,6,3,3,2,6,5,6,3,6,3,3,5,5,5,3
15,5,3,3,2,5,6,5,6,6,5,5,3,3,5,1,2,6,5,6,5,5,5,2,5,5,5,5,5,2,5,6,3,5,5,6,6,5,6,3,6,3,5,2,3,2,6,6,3,5,3,5,3,3,5,5
16,6,6,5,3,3,5,5,5,2,6,5,5,6,5,2,1,3,6,6,5,3,3,3,5,5,5,5,3,6,5,6,5,3,6,6,6,5,3,2,5,5,3,2,5,6,2,5,2,3,5,5,5,5,3,5
17,3,6,3,6,5,5,5,5,5,6,5,5,2,2,6,3,1,3,3,3,6,5,6,5,5,6,5,5,5,3,3,6,6,6,5,5,6,3,5,2,3,5,2,6,5,5,2,5,5,5,2,3,3,5,5
18,3,5,6,3,6,2,6,5,6,5,5,5,2,5,5,6,3,1,5,5,3,3,5,6,3,6,3,5,5,6,5,6,6,3,5,2,2,6,5,5,5,5,6,3,3,3,5,2,5,3,5,5,5,2,5
19,5,3,6,6,3,5,5,5,5,2,5,2,5,6,6,6,3,5,1,6,3,5,3,5,3,3,6,6,5,6,5,6,5,5,3,3,5,5,6,2,3,6,5,5,2,2,5,3,2,3,5,5,5,5,5
20,6,3,3,5,6,5,5,6,5,5,2,6,5,2,5,5,3,5,6,1,5,3,3,6,3,6,5,5,3,5,6,3,6,6,5,5,3,5,3,6,6,2,5,2,5,3,5,5,2,2,5,5,5,3,5
21,6,3,3,5,6,5,2,5,6,2,5,5,6,5,5,3,6,3,3,5,1,6,5,3,5,5,6,6,3,6,5,3,5,5,6,5,2,5,2,6,6,3,5,3,5,5,3,5,5,5,2,2,5,5,3
22,5,3,6,6,3,6,6,5,2,5,2,5,5,5,5,3,5,3,5,3,6,1,5,3,6,3,5,5,6,5,6,5,6,6,3,2,5,5,6,3,2,6,5,5,3,5,5,5,5,5,3,2,3,5,2
23,3,5,6,3,6,5,5,2,5,5,5,6,5,6,2,3,6,5,3,3,5,5,1,3,6,5,3,6,6,5,6,5,5,3,6,3,3,6,5,5,5,5,6,2,2,5,2,5,5,5,3,5,2,5,3
24,3,6,3,6,5,6,2,2,5,5,6,5,5,5,5,5,5,6,5,6,3,3,3,1,3,5,6,6,6,3,3,5,5,5,6,5,6,2,5,3,2,5,3,6,5,5,5,3,3,2,5,5,5,2,5
25,6,6,5,3,3,2,5,6,5,5,6,2,5,5,5,5,5,3,3,3,5,6,6,3,1,6,6,3,5,6,5,6,3,5,5,6,5,2,3,5,5,2,3,5,6,5,3,5,5,5,5,3,2,5,2
26,2,5,3,3,5,6,5,3,5,5,5,5,2,6,5,5,6,6,3,6,5,3,5,5,6,1,5,5,5,3,5,2,2,3,6,5,3,5,3,5,5,6,3,5,5,6,5,6,2,3,6,6,3,5,2
27,5,2,3,5,3,5,6,5,5,2,3,6,5,5,5,5,5,3,6,5,6,5,3,6,6,5,1,2,5,2,5,3,5,6,3,5,5,6,3,3,5,5,3,5,5,6,6,6,5,3,6,5,2,2,3
