i	j	product_order
1	2	5
1	3	5
1	4	5
1	5	5
1	6	5
1	7	5
1	8	2
1	9	3
1	10	3
1	11	3
1	12	3
1	13	2
1	14	5
1	15	5
1	16	6
1	17	3
1	18	3
1	19	5
1	20	6
1	21	6
1	22	5
1	23	3
1	24	3
1	25	6
1	26	2
1	27	5
1	28	3
1	29	3
1	30	5
1	31	5
1	32	3
1	33	3
1	34	5
1	35	2
1	36	5
1	37	6
1	38	6
1	39	2
1	40	5
1	41	5
1	42	2
1	43	6
1	44	6
1	45	5
1	46	6
1	47	5
1	48	5
1	49	6
1	50	5
1	51	5
1	52	6
1	53	5
1	54	5
1	55	6
2	3	5
2	4	5
2	5	5
2	6	3
2	7	5
2	8	3
2	9	5
2	10	2
2	11	2
2	12	5
2	13	3
2	14	5
2	15	3
2	16	6
2	17	6
2	18	5
2	19	3
2	20	3
2	21	3
2	22	3
2	23	5
2	24	6
2	25	6
2	26	5
2	27	2
2	28	3
2	29	5
2	30	3
2	31	3
2	32	5
2	33	3
2	34	2
2	35	5
2	36	5
2	37	5
2	38	2
2	39	6
2	40	6
2	41	6
2	42	6
2	43	2
2	44	5
2	45	5
2	46	5
2	47	6
2	48	6
2	49	5
2	50	5
2	51	5
2	52	5
2	53	6
2	54	6
2	55	5
3	4	5
3	5	5
3	6	3
3	7	2
3	8	5
3	9	3
3	10	5
3	11	5
3	12	3
3	13	5
3	14	2
3	15	3
3	16	5
3	17	3
3	18	6
3	19	6
3	20	3
3	21	3
3	22	6
3	23	6
3	24	3
3	25	5
3	26	3
3	27	3
3	28	2
3	29	5
3	30	5
3	31	5
3	32	5
3	33	2
3	34	3
3	35	3
3	36	2
3	37	6
3	38	5
3	39	5
3	40	6
3	41	6
3	42	5
3	43	5
3	44	6
3	45	2
3	46	6
3	47	5
3	48	6
3	49	5
3	50	5
3	51	5
3	52	5
3	53	6
3	54	5
3	55	6
4	5	5
4	6	2
4	7	3
4	8	5
4	9	5
4	10	3
4	11	3
4	12	5
4	13	5
4	14	3
4	15	2
4	16	3
4	17	6
4	18	3
4	19	6
4	20	5
4	21	5
4	22	6
4	23	3
4	24	6
4	25	3
4	26	3
4	27	5
4	28	5
4	29	2
4	30	3
4	31	3
4	32	2
4	33	5
4	34	5
4	35	3
4	36	6
4	37	5
4	38	6
4	39	5
4	40	2
4	41	2
4	42	5
4	43	6
4	44	5
4	45	6
4	46	5
4	47	5
4	48	5
4	49	6
4	50	6
