index	a00	a01	a10	a11
1	0	1	10	0
2	0	2	5	0
3	0	3	7	0
4	0	4	8	0
5	0	5	2	0
6	1	1	9	10
7	1	2	10	10
8	1	3	3	10
9	1	4	5	10
10	1	5	4	10
11	1	6	7	10
12	1	7	6	10
13	1	8	8	10
14	1	9	1	10
15	1	10	2	10
16	2	1	6	9
17	2	2	3	9
18	2	3	2	9
19	2	4	7	9
20	2	5	10	9
21	2	6	1	9
22	2	7	4	9
23	2	8	9	9
24	2	9	8	9
25	2	10	5	9
26	3	1	1	8
27	3	2	6	8
28	3	3	4	8
29	3	4	3	8
30	3	5	9	8
31	3	6	2	8
32	3	7	8	8
33	3	8	7	8
34	3	9	5	8
35	3	10	10	8
36	4	1	5	7
37	4	2	8	7
38	4	3	9	7
39	4	4	4	7
40	4	5	1	7
41	4	6	10	7
42	4	7	7	7
43	4	8	2	7
44	4	9	3	7
45	4	10	6	7
46	5	1	7	6
47	5	2	9	6
48	5	3	6	6
49	5	4	10	6
50	5	5	8	6
51	5	6	3	6
52	5	7	1	6
53	5	8	5	6
54	5	9	2	6
55	5	10	4	6
