vertex,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,1,3,3,4,4,3,3,4,4,3,3,2,2,3,3,4,2,4,4,2,4
2,3,1,3,3,4,4,4,4,3,2,3,3,3,3,2,4,4,2,2,4,4
3,3,3,1,4,3,4,4,3,4,3,2,3,3,2,3,2,4,4,4,4,2
4,4,3,4,1,4,2,4,2,3,4,3,3,2,2,4,3,4,3,3,3,4
5,4,4,3,4,1,2,4,3,2,2,4,2,3,4,3,3,3,3,4,4,3
6,3,4,4,2,2,1,3,4,4,2,3,4,4,2,3,3,3,3,4,3,4
7,3,4,4,4,4,3,1,2,2,3,2,4,4,3,2,4,3,4,3,3,3
8,4,4,3,2,3,4,2,1,4,3,4,3,2,4,2,3,4,4,3,3,3
9,4,3,4,3,2,4,2,4,1,4,2,2,3,3,4,4,3,3,3,4,3
10,3,2,3,4,2,2,3,3,4,1,3,4,3,4,4,4,4,4,2,3,3
11,3,3,2,3,4,3,2,4,2,3,1,4,3,4,4,2,4,3,4,3,4
12,2,3,3,3,2,4,4,3,2,4,4,1,4,3,3,3,4,4,3,2,4
13,2,3,3,2,3,4,4,2,3,3,3,4,1,4,4,4,2,3,4,4,3
14,3,3,2,2,4,2,3,4,3,4,4,3,4,1,3,4,3,4,3,4,2
15,3,2,3,4,3,3,2,2,4,4,4,3,4,3,1,3,3,2,4,4,4
16,4,4,2,3,3,3,4,3,4,4,2,3,4,4,3,1,2,3,2,3,4
17,2,4,4,4,3,3,3,4,3,4,4,4,2,3,3,2,1,3,2,4,3
18,4,2,4,3,3,3,4,4,3,4,3,4,3,4,2,3,3,1,4,2,2
19,4,2,4,3,4,4,3,3,3,2,4,3,4,3,4,2,2,4,1,3,3
20,2,4,4,3,4,3,3,3,4,3,3,2,4,4,4,3,4,2,3,1,2
21,4,4,2,4,3,4,3,3,3,3,4,4,3,2,4,4,3,2,3,2,1
