M=12 roots=530822 total_path_edges=30524190
folded: vertices=13850405
MEMBER=False M=12 E7
MEMBER=False M=12 W14-1
MEMBER=False M=12 W14-2
MEMBER=False M=12 W14-3
MEMBER=False M=12 W14-4
MEMBER=False M=12 W14-5
MEMBER=False M=12 W14-6
MEMBER=False M=12 W14-7
MEMBER=False M=12 W14-8
MEMBER=False M=12 W14-9
MEMBER=False M=12 W14-10
MEMBER=False M=12 W14-11
MEMBER=False M=12 W14-12
MEMBER=False M=12 W13-1
MEMBER=False M=12 W13-2
MEMBER=False M=12 W13-3
MEMBER=False M=12 W13-4
MEMBER=False M=12 W13-5
MEMBER=False M=12 W13-6
MEMBER=False M=12 W13-7
MEMBER=False M=12 W13-8
